time [µs]	Amp[V]	HF [V]	TGC [dB]
67,3	0,006	-0,006	0,157
67,4	0,007	0,002	0,157
67,5	0,007	0,002	0,157
67,6	0,006	-0,006	0,157
67,7	0,004	0,002	0,157
67,8	0,002	0,002	0,157
67,9	0,001	0,002	0,157
68,0	0,002	0,002	0,157
68,1	0,004	0,002	0,157
68,2	0,005	0,002	0,157
68,3	0,006	-0,006	0,157
68,4	0,005	0,002	0,157
68,5	0,004	0,002	0,157
68,6	0,003	0,002	0,157
68,7	0,004	0,002	0,157
68,8	0,005	0,002	0,157
68,9	0,005	-0,006	0,157
69,0	0,005	0,002	0,157
69,1	0,005	0,002	0,157
69,2	0,005	0,002	0,157
69,3	0,006	0,002	0,157
69,4	0,006	-0,006	0,157
69,5	0,006	-0,006	0,157
69,6	0,006	0,002	0,157
69,7	0,004	0,002	0,157
69,8	0,003	0,002	0,157
69,9	0,003	0,002	0,157
70,0	0,003	0,002	0,157
70,1	0,003	0,002	0,157
70,2	0,003	0,002	0,157
70,3	0,003	0,002	0,157
70,4	0,004	0,002	0,157
70,5	0,004	0,002	0,157
70,6	0,005	0,002	0,157
70,7	0,007	-0,006	0,157
70,8	0,010	-0,006	0,157
70,9	0,014	0,010	0,157
71,0	0,020	0,018	0,157
71,1	0,028	0,002	0,157
71,2	0,037	-0,029	0,157
71,3	0,048	-0,045	0,157
71,4	0,058	0,002	0,157
71,5	0,065	0,057	0,157
71,6	0,068	0,049	0,157
71,7	0,066	-0,029	0,000
71,8	0,062	-0,061	0,157
71,9	0,057	-0,014	0,157
72,0	0,055	0,049	0,157
72,1	0,055	0,034	0,157
72,2	0,057	-0,029	0,157
72,3	0,059	-0,061	0,000
72,4	0,060	-0,014	0,157
72,5	0,060	0,042	0,157
72,6	0,059	0,057	0,000
72,7	0,056	0,010	0,157
72,8	0,052	-0,037	0,157
72,9	0,046	-0,045	0,157
73,0	0,039	-0,014	0,157
73,1	0,032	0,018	0,157
73,2	0,026	0,026	0,157
73,3	0,022	0,010	0,000
73,4	0,019	-0,014	0,000
73,5	0,016	-0,014	0,157
73,6	0,012	-0,006	0,157
73,7	0,009	0,002	0,157
73,8	0,008	0,010	0,157
73,9	0,007	0,002	0,000
74,0	0,007	0,002	0,157
74,1	0,008	-0,006	0,157
74,2	0,007	-0,006	0,157
74,3	0,006	0,002	0,157
74,4	0,005	0,002	0,157
74,5	0,004	0,002	0,157
74,6	0,003	0,002	0,157
74,7	0,003	0,002	0,157
74,8	0,003	0,002	0,157
74,9	0,003	0,002	0,157
75,0	0,004	0,002	0,157
75,1	0,006	-0,006	0,157
75,2	0,007	0,002	0,157
75,3	0,006	0,002	0,157
75,4	0,005	0,002	0,157
75,5	0,003	0,002	0,157
75,6	0,003	0,002	0,157
75,7	0,005	0,002	0,157
75,8	0,007	0,002	0,157
75,9	0,008	-0,006	0,157
76,0	0,007	-0,006	0,157
76,1	0,005	0,002	0,157
76,2	0,003	0,002	0,157
76,3	0,004	0,002	0,157
76,4	0,005	0,002	0,157
76,5	0,007	-0,006	0,157
76,6	0,008	-0,006	0,157
76,7	0,006	0,002	0,157
76,8	0,004	0,002	0,157
76,9	0,003	0,002	0,157
77,0	0,004	0,002	0,157
77,1	0,006	0,002	0,157
77,2	0,008	-0,006	0,157
77,3	0,008	-0,006	0,157
77,4	0,007	-0,006	0,157
77,5	0,006	0,002	0,157
77,6	0,004	0,002	0,157
77,7	0,003	0,002	0,157
77,8	0,003	0,002	0,157
77,9	0,003	0,002	0,157
78,0	0,002	0,002	0,157
78,1	0,003	0,002	0,157
78,2	0,004	0,002	0,157
78,3	0,005	-0,006	0,157
78,4	0,006	0,002	0,157
78,5	0,007	0,002	0,157
78,6	0,007	0,010	0,157
78,7	0,007	0,002	0,157
78,8	0,008	0,002	0,157
78,9	0,008	-0,006	0,157
79,0	0,008	-0,006	0,157
79,1	0,008	0,002	0,157
79,2	0,008	0,010	0,157
79,3	0,008	0,002	0,157
79,4	0,009	0,002	0,157
79,5	0,008	-0,006	0,157
79,6	0,007	-0,006	0,157
79,7	0,005	0,002	0,157
79,8	0,003	0,002	0,157
79,9	0,003	0,002	0,157
80,0	0,004	0,002	0,157
80,1	0,006	-0,006	0,157
80,2	0,007	0,002	0,157
80,3	0,006	0,002	0,157
80,4	0,005	0,002	0,157
80,5	0,004	0,002	0,157
80,6	0,005	0,002	0,157
80,7	0,006	-0,006	0,157
80,8	0,007	0,002	0,157
80,9	0,007	0,002	0,157
81,0	0,006	0,002	0,157
81,1	0,005	0,002	0,157
81,2	0,004	0,002	0,157
81,3	0,004	0,002	0,157
81,4	0,005	0,002	0,157
81,5	0,005	0,002	0,157
81,6	0,007	0,002	0,157
81,7	0,008	-0,006	0,157
81,8	0,008	-0,006	0,157
81,9	0,008	-0,006	0,157
82,0	0,006	0,002	0,157
82,1	0,005	0,002	0,157
82,2	0,004	0,002	0,157
82,3	0,005	-0,006	0,157
82,4	0,007	0,002	0,157
82,5	0,009	-0,006	0,157
82,6	0,009	0,002	0,157
82,7	0,008	0,002	0,157
82,8	0,007	0,002	0,157
82,9	0,006	0,002	0,157
83,0	0,006	0,002	0,157
83,1	0,006	0,002	0,157
83,2	0,006	0,002	0,157
83,3	0,006	0,002	0,157
83,4	0,005	0,002	0,157
83,5	0,005	0,002	0,157
83,6	0,006	0,002	0,157
83,7	0,007	-0,006	0,157
83,8	0,008	0,002	0,157
83,9	0,008	0,002	0,157
84,0	0,008	0,002	0,157
84,1	0,007	0,002	0,157
84,2	0,006	0,002	0,157
84,3	0,006	0,002	0,157
84,4	0,007	0,002	0,157
84,5	0,007	0,002	0,157
84,6	0,007	0,002	0,157
84,7	0,006	0,002	0,157
84,8	0,006	0,002	0,157
