time [µs]	Amp[V]	HF [V]	TGC [dB]
72,2	0,006	0,003	0,157
72,3	0,007	-0,005	0,157
72,4	0,007	-0,005	0,157
72,5	0,006	0,003	0,157
72,6	0,005	0,003	0,157
72,7	0,004	0,003	0,157
72,8	0,003	0,003	0,157
72,9	0,003	0,003	0,157
73,0	0,003	0,003	0,157
73,1	0,003	0,003	0,157
73,2	0,003	0,003	0,157
73,3	0,003	0,003	0,157
73,4	0,003	0,003	0,157
73,5	0,003	0,003	0,157
73,6	0,003	0,003	0,157
73,7	0,003	0,003	0,157
73,8	0,003	0,003	0,157
73,9	0,004	0,003	0,157
74,0	0,005	0,003	0,157
74,1	0,005	-0,005	0,157
74,2	0,005	0,003	0,157
74,3	0,004	0,003	0,157
74,4	0,003	0,003	0,157
74,5	0,003	0,003	0,157
74,6	0,004	0,003	0,157
74,7	0,005	-0,005	0,157
74,8	0,006	0,003	0,157
74,9	0,005	0,003	0,157
75,0	0,004	0,003	0,157
75,1	0,003	0,003	0,157
75,2	0,003	0,003	0,157
75,3	0,004	0,003	0,157
75,4	0,006	0,003	0,157
75,5	0,007	0,003	0,157
75,6	0,006	-0,005	0,157
75,7	0,005	-0,005	0,157
75,8	0,004	0,003	0,157
75,9	0,004	0,003	0,157
76,0	0,005	0,003	0,157
76,1	0,005	-0,005	0,157
76,2	0,005	0,003	0,157
76,3	0,004	0,003	0,157
76,4	0,004	0,003	0,157
76,5	0,004	0,003	0,157
76,6	0,005	0,003	0,157
76,7	0,005	-0,005	0,157
76,8	0,005	0,003	0,157
76,9	0,005	0,003	0,157
77,0	0,004	0,003	0,157
77,1	0,004	0,003	0,157
77,2	0,005	0,003	0,157
77,3	0,005	-0,005	0,157
77,4	0,006	0,003	0,157
77,5	0,006	0,003	0,157
77,6	0,006	0,003	0,157
77,7	0,006	0,003	0,157
77,8	0,006	-0,005	0,157
77,9	0,006	-0,005	0,157
78,0	0,006	0,003	0,157
78,1	0,005	0,003	0,157
78,2	0,004	0,003	0,157
78,3	0,004	0,003	0,157
78,4	0,004	0,003	0,157
78,5	0,004	0,003	0,157
78,6	0,004	0,003	0,157
78,7	0,003	0,003	0,157
78,8	0,004	0,003	0,157
78,9	0,004	0,003	0,157
79,0	0,005	0,003	0,157
79,1	0,006	-0,005	0,157
79,2	0,006	0,003	0,157
79,3	0,005	0,003	0,157
79,4	0,005	0,003	0,157
79,5	0,004	0,003	0,157
79,6	0,004	0,003	0,157
79,7	0,004	0,003	0,157
79,8	0,005	0,003	0,157
79,9	0,006	0,003	0,157
80,0	0,007	0,003	0,157
80,1	0,008	-0,005	0,157
80,2	0,007	-0,005	0,157
80,3	0,006	-0,005	0,157
80,4	0,005	0,003	0,157
80,5	0,004	0,003	0,157
80,6	0,005	0,003	0,157
80,7	0,007	-0,005	0,157
80,8	0,008	0,003	0,157
80,9	0,008	0,003	0,157
81,0	0,006	-0,005	0,157
81,1	0,004	0,003	0,157
81,2	0,003	0,003	0,157
81,3	0,003	0,003	0,157
81,4	0,005	0,003	0,157
81,5	0,006	-0,005	0,157
81,6	0,006	0,003	0,157
81,7	0,005	0,003	0,157
81,8	0,005	0,003	0,157
81,9	0,005	0,003	0,157
82,0	0,007	0,003	0,157
82,1	0,007	-0,005	0,157
82,2	0,007	-0,005	0,157
82,3	0,006	0,003	0,157
82,4	0,005	0,003	0,157
82,5	0,005	0,003	0,157
82,6	0,006	-0,005	0,157
82,7	0,007	-0,005	0,157
82,8	0,006	0,003	0,157
82,9	0,005	0,003	0,157
83,0	0,004	0,003	0,157
83,1	0,003	0,003	0,157
83,2	0,005	0,003	0,157
83,3	0,006	-0,005	0,157
83,4	0,007	0,003	0,157
83,5	0,006	0,003	0,157
83,6	0,005	0,003	0,157
83,7	0,004	0,003	0,157
83,8	0,005	0,003	0,157
83,9	0,006	-0,005	0,157
84,0	0,007	0,003	0,157
84,1	0,007	0,003	0,157
84,2	0,007	0,003	0,157
84,3	0,006	0,003	0,157
84,4	0,005	0,003	0,157
84,5	0,005	0,003	0,157
84,6	0,006	0,003	0,157
84,7	0,007	0,003	0,157
84,8	0,008	0,003	0,157
84,9	0,007	0,003	0,157
85,0	0,006	-0,005	0,157
